SAMBAT_40001_20230818_150652.csv
"SAMBAT Sea Ti  C/T/D/Odo/Fluo/pH GPS"
"sn :";40001
"Cadence d'enregistrement :";"900 s"

Date;"Pression (0/50) (dba)";"Température (-5/35) (°C)";"Salinité (2/42) (g/l)";"Oxygène (0/20) (mgl)";"PH (0/14) (pH)";"Fluorescence (0/500) (ppb)";"Tension batterie (V)"
"29/07/2023 08:47:03";0,77;26,25;39,34;7,89;8,26;1,37;10,93
"29/07/2023 09:02:03";0,77;26,27;39,37;7,89;8,26;0,91;10,95
"29/07/2023 09:17:03";0,78;26,30;39,36;7,88;8,26;0,25;10,96
"29/07/2023 09:32:03";0,78;26,36;39,34;7,87;8,26;1,20;10,96
"29/07/2023 09:47:03";0,76;26,38;39,34;7,86;8,26;1,30;10,93
"29/07/2023 10:02:03";0,76;26,41;39,34;7,86;8,27;0,51;10,95
"29/07/2023 10:17:03";0,80;26,45;39,34;7,86;8,26;0,94;10,96
"29/07/2023 10:32:03";0,83;26,46;34,04;7,86;8,26;0,55;10,96
"29/07/2023 10:47:03";0,80;26,55;36,95;7,85;8,27;1,06;10,92
"29/07/2023 11:02:03";0,70;26,56;39,34;7,85;8,27;0,84;10,95
"29/07/2023 11:17:03";0,82;26,64;39,35;7,84;8,27;0,86;10,96
"29/07/2023 11:32:03";0,76;26,68;39,36;7,83;8,27;1,05;10,96
"29/07/2023 11:47:03";0,80;26,65;39,33;7,84;8,26;0,74;10,94
"29/07/2023 12:02:03";0,77;26,70;39,33;7,84;8,26;0,63;10,96
"29/07/2023 12:17:03";0,77;26,70;39,34;7,84;8,27;0,74;10,96
"29/07/2023 12:32:03";0,82;26,66;39,38;7,85;8,26;0,77;10,96
"29/07/2023 12:47:03";0,79;26,58;39,37;7,88;8,26;0,77;10,93
"29/07/2023 13:02:03";0,80;26,78;39,35;7,84;8,26;0,67;10,96
"29/07/2023 13:17:03";0,75;26,80;39,31;7,84;8,27;0,81;10,96
"29/07/2023 13:32:03";0,80;26,80;39,35;7,84;8,26;0,82;10,96
"29/07/2023 13:47:03";0,76;26,88;39,32;7,83;8,27;0,88;10,93
"29/07/2023 14:02:03";0,77;26,87;39,35;7,84;8,27;0,74;10,96
"29/07/2023 14:17:03";0,80;26,92;39,32;7,83;8,26;0,63;10,96
"29/07/2023 14:32:03";0,76;26,95;39,35;7,83;8,26;0,99;10,96
"29/07/2023 14:47:03";0,75;27,03;39,35;7,82;8,26;0,87;10,94
"29/07/2023 15:02:03";0,79;26,98;39,36;7,82;8,26;0,98;10,96
"29/07/2023 15:17:03";0,76;27,00;39,35;7,82;8,26;0,84;10,93
"29/07/2023 15:03:58";0,82;27,01;39,34;7,82;8,26;0,70;10,85
"29/07/2023 15:18:58";0,77;27,08;39,36;7,81;8,27;0,74;10,95
"29/07/2023 15:33:58";0,75;27,10;39,35;7,80;8,26;0,93;10,96
"29/07/2023 15:48:58";0,77;27,17;39,36;7,79;8,26;1,08;10,95
"29/07/2023 16:03:58";0,75;27,26;39,33;7,77;8,27;0,47;10,96
"29/07/2023 16:18:58";0,75;27,28;39,36;7,77;8,27;1,46;10,96
"29/07/2023 16:33:58";0,78;27,27;37,37;7,77;8,26;0,84;10,96
"29/07/2023 16:48:58";0,73;27,23;37,25;7,78;8,26;1,50;10,95
"29/07/2023 17:03:58";0,80;27,20;35,46;7,79;8,26;1,51;10,96
"29/07/2023 17:18:58";0,78;27,14;39,36;7,80;8,25;1,43;10,96
"29/07/2023 17:33:58";0,76;27,07;39,36;7,81;8,25;1,47;10,96
"29/07/2023 17:48:58";0,76;27,06;39,34;7,81;8,25;1,15;10,94
"29/07/2023 18:03:58";0,77;27,00;39,35;7,82;8,25;1,58;10,96
"29/07/2023 18:18:58";0,77;26,99;39,35;7,82;8,25;1,36;10,96
"29/07/2023 18:33:58";0,76;26,94;39,35;7,83;8,25;1,51;10,96
"29/07/2023 18:48:58";0,81;26,93;39,33;7,83;8,25;1,56;10,95
"29/07/2023 19:03:58";0,75;26,92;39,35;7,83;8,25;1,58;10,96
"29/07/2023 19:18:58";0,75;26,84;39,32;7,85;8,25;1,98;10,96
"29/07/2023 19:33:58";0,79;26,81;39,32;7,85;8,25;1,70;10,96
"29/07/2023 19:48:58";0,76;26,74;39,32;7,86;8,25;2,13;10,94
"29/07/2023 20:03:58";0,76;26,67;39,33;7,87;8,24;1,60;10,96
"29/07/2023 20:18:58";0,77;26,65;39,33;7,88;8,25;1,81;10,96
"29/07/2023 20:33:58";0,77;26,56;39,33;7,89;8,25;1,95;10,96
"29/07/2023 20:48:58";0,76;26,57;39,33;7,89;8,25;1,49;10,94
"29/07/2023 21:03:58";0,77;26,48;39,35;7,90;8,24;1,72;10,96
"29/07/2023 21:18:58";0,78;26,38;39,32;7,92;8,24;1,56;10,96
"29/07/2023 21:33:58";0,78;26,35;39,33;7,92;8,24;1,50;10,96
"29/07/2023 21:48:58";0,76;26,31;39,32;7,93;8,24;1,57;10,94
"29/07/2023 22:03:58";0,77;26,28;39,31;7,93;8,24;1,71;10,96
"29/07/2023 22:18:58";0,76;26,26;39,33;7,93;8,24;1,83;10,96
"29/07/2023 22:33:58";0,77;26,23;39,33;7,93;8,24;1,50;10,96
"29/07/2023 22:48:58";0,80;26,23;39,33;7,93;8,24;1,65;10,94
"29/07/2023 23:03:58";0,77;26,22;39,31;7,93;8,24;1,48;10,96
"29/07/2023 23:18:58";0,78;26,22;39,33;7,92;8,24;1,49;10,96
"29/07/2023 23:33:58";0,84;26,21;39,32;7,92;8,24;1,69;10,96
"29/07/2023 23:48:58";0,79;26,21;39,33;7,91;8,24;1,64;10,93
"30/07/2023 00:03:58";0,79;26,21;39,32;7,91;8,25;1,86;10,95
"30/07/2023 00:18:58";0,82;26,21;39,32;7,90;8,25;1,28;10,96
"30/07/2023 00:33:58";0,76;26,22;39,30;7,90;8,25;1,78;10,96
"30/07/2023 00:48:58";0,81;26,21;39,26;7,89;8,25;1,81;10,94
"30/07/2023 01:03:58";0,78;26,24;39,32;7,88;8,25;1,39;10,96
"30/07/2023 01:18:58";0,81;26,22;39,30;7,88;8,25;1,53;10,96
"30/07/2023 01:33:58";0,80;26,23;39,33;7,88;8,25;1,70;10,96
"30/07/2023 01:48:58";0,77;26,22;39,32;7,88;8,25;1,50;10,94
"30/07/2023 02:03:58";0,78;26,22;39,32;7,88;8,25;1,44;10,96
"30/07/2023 02:18:58";0,77;26,22;39,33;7,87;8,25;1,35;10,96
"30/07/2023 02:33:58";0,77;26,20;35,50;7,87;8,25;1,45;10,96
"30/07/2023 02:48:58";0,79;26,18;39,33;7,87;8,25;1,36;10,93
"30/07/2023 03:03:58";0,79;26,20;39,33;7,87;8,25;1,77;10,95
"30/07/2023 03:18:58";0,80;26,19;37,44;7,87;8,25;1,27;10,96
"30/07/2023 03:33:58";0,80;26,17;39,32;7,87;8,25;1,35;10,96
"30/07/2023 03:48:58";0,78;26,16;39,33;7,88;8,25;1,29;10,94
"30/07/2023 04:03:58";0,80;26,14;39,33;7,88;8,25;1,35;10,95
"30/07/2023 04:18:58";0,78;26,13;39,30;7,89;8,25;1,25;10,96
"30/07/2023 04:33:58";0,76;26,11;39,31;7,89;8,25;1,18;10,96
"30/07/2023 04:48:58";0,79;26,11;39,32;7,89;8,25;1,57;10,94
"30/07/2023 05:03:58";0,78;26,12;39,28;7,90;8,25;1,46;10,95
"30/07/2023 05:18:58";0,75;26,11;39,31;7,91;8,25;1,48;10,96
"30/07/2023 05:33:58";0,76;26,10;39,31;7,91;8,25;1,35;10,96
"30/07/2023 05:48:58";0,78;26,10;39,31;7,91;8,25;1,62;10,93
"30/07/2023 06:03:58";0,78;26,10;39,30;7,91;8,25;1,53;10,95
"30/07/2023 06:18:58";0,76;26,10;39,29;7,92;8,25;1,55;10,96
"30/07/2023 06:33:58";0,78;26,10;39,31;7,92;8,26;1,43;10,96
"30/07/2023 06:48:58";0,78;26,09;39,31;7,93;8,26;1,50;10,94
"30/07/2023 07:03:58";0,78;26,10;39,30;7,93;8,26;1,37;10,95
"30/07/2023 07:18:58";0,78;26,08;39,29;7,94;8,26;1,19;10,95
"30/07/2023 07:33:58";0,72;26,10;39,27;7,94;8,26;1,02;10,96
"30/07/2023 07:48:58";0,76;26,10;39,29;7,94;8,26;1,10;10,94
"30/07/2023 08:03:58";0,76;26,10;37,80;7,95;8,26;0,87;10,95
"30/07/2023 08:18:58";0,77;26,10;39,33;7,95;8,26;1,15;10,96
"30/07/2023 08:33:58";0,81;26,10;39,31;7,95;8,26;1,09;10,96
"30/07/2023 08:48:58";0,83;26,10;39,31;7,96;8,26;0,79;10,93
"30/07/2023 09:03:58";0,72;26,11;39,30;7,96;8,26;1,31;10,95
"30/07/2023 09:18:58";0,75;26,12;39,29;7,97;8,26;0,62;10,95
"30/07/2023 09:33:58";0,82;26,12;39,27;7,97;8,26;1,59;10,96
"30/07/2023 09:48:58";0,70;26,13;39,27;7,97;8,26;0,82;10,94
"30/07/2023 10:03:58";0,77;26,15;39,11;7,97;8,26;0,58;10,95
"30/07/2023 10:18:58";0,74;26,16;39,27;7,97;8,26;0,65;10,96
"30/07/2023 10:33:58";0,87;26,17;39,27;7,97;8,26;1,00;10,96
"30/07/2023 10:48:58";0,74;26,21;39,27;7,97;8,26;0,88;10,94
"30/07/2023 11:03:58";0,76;26,23;36,29;7,97;8,27;0,67;10,95
"30/07/2023 11:18:58";0,81;26,25;27,14;7,96;8,27;0,80;10,96
"30/07/2023 11:33:58";0,70;26,28;39,28;7,96;8,27;0,99;10,96
"30/07/2023 11:48:58";0,83;26,28;39,26;7,96;8,27;0,62;10,93
"30/07/2023 12:03:58";0,86;26,31;39,26;7,96;8,27;0,54;10,95
